From	Entry	Gene_Ontology	Gene_Ontology_IDs
A7RIH1_NEMVE	A7RIH1	membrane [GO:0016020]; alkenylglycerophosphocholine hydrolase activity [GO:0047408]; alkenylglycerophosphoethanolamine hydrolase activity [GO:0047409]	GO:0016020; GO:0047408; GO:0047409
A0A2B4RR16_STYPI	A0A2B4RR16	membrane [GO:0016020]	GO:0016020
A0A3M6TXQ9_POCDA	A0A3M6TXQ9	membrane [GO:0016020]	GO:0016020
A0A3M6TXC1_POCDA	A0A3M6TXC1	membrane [GO:0016020]	GO:0016020
A0A2B4RQ97_STYPI	A0A2B4RQ97	membrane [GO:0016020]	GO:0016020
A0A834XSA8_9HYME	A0A834XSA8	membrane [GO:0016020]	GO:0016020
V9KNR1_CALMI	V9KNR1	membrane [GO:0016020]	GO:0016020
A0A3M0JZ10_HIRRU	A0A3M0JZ10	membrane [GO:0016020]	GO:0016020
A0A6P8ISZ2_ACTTE	A0A6P8ISZ2	N/A	N/A
A0A6P8I2U1_ACTTE	A0A6P8I2U1	N/A	N/A
A0A913XIF8_EXADI	A0A913XIF8	N/A	N/A
A0A2B4T0I3_STYPI	A0A2B4T0I3	N/A	N/A
A0A3M6UQC1_POCDA	A0A3M6UQC1	membrane [GO:0016020]	GO:0016020
A7SLQ9_NEMVE	A7SLQ9	N/A	N/A
A0A6S7FQX6_PARCT	A0A6S7FQX6	N/A	N/A
V4AFL6_LOTGI	V4AFL6	N/A	N/A
A0A8K0EVP0_BRALA	A0A8K0EVP0	N/A	N/A
A0A8S4NB52_OWEFU	A0A8S4NB52	N/A	N/A
A0A7J7YZQ7_MYOMY	A0A7J7YZQ7	N/A	N/A
A0A913XF84_EXADI	A0A913XF84	N/A	N/A
A7RFR8_NEMVE	A7RFR8	membrane [GO:0016020]	GO:0016020
A0A6P8HDS0_ACTTE	A0A6P8HDS0	N/A	N/A
A0A6P8HKJ1_ACTTE	A0A6P8HKJ1	N/A	N/A
A0A6P8HC47_ACTTE	A0A6P8HC47	N/A	N/A
A0A913Y8M8_EXADI	A0A913Y8M8	N/A	N/A
A0A6P8J2D3_ACTTE	A0A6P8J2D3	N/A	N/A
A0A2B4S3J7_STYPI	A0A2B4S3J7	N/A	N/A
A0A3M6UB59_POCDA	A0A3M6UB59	N/A	N/A
A0A6P8HY76_ACTTE	A0A6P8HY76	N/A	N/A
A7RSB5_NEMVE	A7RSB5	N/A	N/A
A0A6P8HMN9_ACTTE	A0A6P8HMN9	N/A	N/A
A0A6P8I8T2_ACTTE	A0A6P8I8T2	N/A	N/A
A0A6P8J1V2_ACTTE	A0A6P8J1V2	N/A	N/A
A0A6P8J100_ACTTE	A0A6P8J100	N/A	N/A
A0A6P8IJ94_ACTTE	A0A6P8IJ94	N/A	N/A
A0A6P8H124_ACTTE	A0A6P8H124	N/A	N/A
A0A6P8H6F5_ACTTE	A0A6P8H6F5	N/A	N/A
A0A6P8J5K5_ACTTE	A0A6P8J5K5	N/A	N/A
A0A6P8HHC3_ACTTE	A0A6P8HHC3	N/A	N/A
A0A6P8H0G7_ACTTE	A0A6P8H0G7	N/A	N/A
A0A6P8J4K1_ACTTE	A0A6P8J4K1	N/A	N/A
A0A6P8H1G5_ACTTE	A0A6P8H1G5	membrane [GO:0016020]	GO:0016020
A0A6P8H612_ACTTE	A0A6P8H612	N/A	N/A
A0A6P8HGS8_ACTTE	A0A6P8HGS8	N/A	N/A
TX8D_ANEVI	P0DMZ6	extracellular region [GO:0005576]; nematocyst [GO:0042151]; toxin activity [GO:0090729]	GO:0005576; GO:0042151; GO:0090729
A0A913YAN4_EXADI	A0A913YAN4	N/A	N/A
TX8E_ANEVI	P0DMZ7	extracellular region [GO:0005576]; nematocyst [GO:0042151]; toxin activity [GO:0090729]	GO:0005576; GO:0042151; GO:0090729
A0A913XLS5_EXADI	A0A913XLS5	N/A	N/A
A0A913WUB7_EXADI	A0A913WUB7	N/A	N/A
A0A6P8I6P2_ACTTE	A0A6P8I6P2	N/A	N/A
A0A3P8MJV3_9CNID	A0A3P8MJV3	N/A	N/A
A0A6P8HQP5_ACTTE	A0A6P8HQP5	membrane [GO:0016020]	GO:0016020
A0A6P8I562_ACTTE	A0A6P8I562	calcium ion binding [GO:0005509]	GO:0005509
A0A6P8HWY2_ACTTE	A0A6P8HWY2	calcium ion binding [GO:0005509]	GO:0005509
A0A6P8HX50_ACTTE	A0A6P8HX50	calcium ion binding [GO:0005509]	GO:0005509
A0A6P8IX37_ACTTE	A0A6P8IX37	calcium ion binding [GO:0005509]	GO:0005509
A0A6P8HU27_ACTTE	A0A6P8HU27	calcium ion binding [GO:0005509]	GO:0005509
A0A6P8HC53_ACTTE	A0A6P8HC53	calcium ion binding [GO:0005509]	GO:0005509
A0A6P8HX53_ACTTE	A0A6P8HX53	N/A	N/A
A0A6P8I5X0_ACTTE	A0A6P8I5X0	calcium ion binding [GO:0005509]	GO:0005509
A0A913X4P0_EXADI	A0A913X4P0	N/A	N/A
A0A6P8IKM8_ACTTE	A0A6P8IKM8	membrane [GO:0016020]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005509; GO:0005524; GO:0016020
A0A913WXW5_EXADI	A0A913WXW5	N/A	N/A
A0A2B4RVN9_STYPI	A0A2B4RVN9	membrane [GO:0016020]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005509; GO:0005524; GO:0016020
A0A3M6T8J6_POCDA	A0A3M6T8J6	membrane [GO:0016020]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005509; GO:0005524; GO:0016020
A0A6P8I4M6_ACTTE	A0A6P8I4M6	membrane [GO:0016020]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016020
A0A913XE58_EXADI	A0A913XE58	N/A	N/A
A0A1S3HWR2_LINUN	A0A1S3HWR2	membrane [GO:0016020]	GO:0016020
A0A2B4SNC8_STYPI	A0A2B4SNC8	membrane [GO:0016020]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016020
A0A913XDK3_EXADI	A0A913XDK3	N/A	N/A
A0A6P8I9T8_ACTTE	A0A6P8I9T8	N/A	N/A
A0A6P8I9T4_ACTTE	A0A6P8I9T4	N/A	N/A
A0A6P8I293_ACTTE	A0A6P8I293	N/A	N/A
A0A8J9YT06_BRALA	A0A8J9YT06	N/A	N/A
C3Z0V4_BRAFL	C3Z0V4	N/A	N/A
A7SJ96_NEMVE	A7SJ96	N/A	N/A
A0A913WZD3_EXADI	A0A913WZD3	N/A	N/A
C3YM13_BRAFL	C3YM13	extracellular region [GO:0005576]; lysozyme activity [GO:0003796]; defense response to Gram-positive bacterium [GO:0050830]	GO:0003796; GO:0005576; GO:0050830
A7SJ95_NEMVE	A7SJ95	N/A	N/A
C3YM14_BRAFL	C3YM14	N/A	N/A
A0A6P8IL26_ACTTE	A0A6P8IL26	chaperone binding [GO:0051087]	GO:0051087
A0A913Y4Y6_EXADI	A0A913Y4Y6	N/A	N/A
A7SC39_NEMVE	A7SC39	chaperone binding [GO:0051087]	GO:0051087
A0A2B4RHA6_STYPI	A0A2B4RHA6	chaperone binding [GO:0051087]	GO:0051087
A0A3M6ULJ7_POCDA	A0A3M6ULJ7	chaperone binding [GO:0051087]	GO:0051087
A0A6P8H9S7_ACTTE	A0A6P8H9S7	N/A	N/A
A0A6P8HKH2_ACTTE	A0A6P8HKH2	N/A	N/A
A0A6P8HBR5_ACTTE	A0A6P8HBR5	membrane [GO:0016020]	GO:0016020
A0A6P8IX38_ACTTE	A0A6P8IX38	membrane [GO:0016020]	GO:0016020
A0A6P8IWV2_ACTTE	A0A6P8IWV2	membrane [GO:0016020]	GO:0016020
A0A6P8IWV7_ACTTE	A0A6P8IWV7	membrane [GO:0016020]	GO:0016020
A0A6P8ITH4_ACTTE	A0A6P8ITH4	membrane [GO:0016020]	GO:0016020
A0A6P8IUB5_ACTTE	A0A6P8IUB5	membrane [GO:0016020]	GO:0016020
A0A6P8H3B5_ACTTE	A0A6P8H3B5	membrane [GO:0016020]	GO:0016020
A0A6P8H2V4_ACTTE	A0A6P8H2V4	membrane [GO:0016020]	GO:0016020
A0A6P8H3B1_ACTTE	A0A6P8H3B1	membrane [GO:0016020]	GO:0016020
A0A6P8HBR0_ACTTE	A0A6P8HBR0	membrane [GO:0016020]	GO:0016020
A0A6P8H2V8_ACTTE	A0A6P8H2V8	N/A	N/A
A0A6P8ITZ7_ACTTE	A0A6P8ITZ7	membrane [GO:0016020]	GO:0016020
W5NXU5_SHEEP	W5NXU5	membrane [GO:0016020]	GO:0016020
A0A6P8I4D9_ACTTE	A0A6P8I4D9	N/A	N/A
EQSTC_ACTEQ	P81439	extracellular region [GO:0005576]; cysteine-type endopeptidase inhibitor activity [GO:0004869]; negative regulation of peptidase activity [GO:0010466]	GO:0004869; GO:0005576; GO:0010466
A0A2B4SSB0_STYPI	A0A2B4SSB0	N/A	N/A
A0A3M6UBY2_POCDA	A0A3M6UBY2	N/A	N/A
A7S7B7_NEMVE	A7S7B7	extracellular space [GO:0005615]	GO:0005615
A0A6P8I8R1_ACTTE	A0A6P8I8R1	extracellular region [GO:0005576]; chitin binding [GO:0008061]	GO:0005576; GO:0008061
A0A913YF88_EXADI	A0A913YF88	N/A	N/A
A0A6P8HXH5_ACTTE	A0A6P8HXH5	N/A	N/A
A8DUW3_NEMVE	A8DUW3	extracellular region [GO:0005576]; chitin binding [GO:0008061]	GO:0005576; GO:0008061
A0A8B7ZQR3_ACAPL	A0A8B7ZQR3	extracellular region [GO:0005576]; chitin binding [GO:0008061]; carbohydrate metabolic process [GO:0005975]	GO:0005576; GO:0005975; GO:0008061
A0A8B8A3C7_ACAPL	A0A8B8A3C7	extracellular region [GO:0005576]; chitin binding [GO:0008061]; chitinase activity [GO:0004568]; carbohydrate metabolic process [GO:0005975]; chitin catabolic process [GO:0006032]	GO:0004568; GO:0005576; GO:0005975; GO:0006032; GO:0008061
A0A6P8I5K6_ACTTE	A0A6P8I5K6	N/A	N/A
A0A913XYJ4_EXADI	A0A913XYJ4	N/A	N/A
A7S4B3_NEMVE	A7S4B3	exocytic vesicle [GO:0070382]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; clathrin binding [GO:0030276]; phosphatidylserine binding [GO:0001786]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905]; calcium ion-regulated exocytosis of neurotransmitter [GO:0048791]; calcium-ion regulated exocytosis [GO:0017156]; cellular response to calcium ion [GO:0071277]; regulation of calcium ion-dependent exocytosis [GO:0017158]; regulation of dopamine secretion [GO:0014059]; synaptic vesicle endocytosis [GO:0048488]; vesicle-mediated transport [GO:0016192]	GO:0000149; GO:0001786; GO:0005509; GO:0005544; GO:0005886; GO:0014059; GO:0016192; GO:0017156; GO:0017158; GO:0019905; GO:0030276; GO:0048488; GO:0048791; GO:0070382; GO:0071277; GO:0098793
A0A2B4S531_STYPI	A0A2B4S531	N/A	N/A
A0A3M6U5L2_POCDA	A0A3M6U5L2	N/A	N/A
A0A7D9IDY8_PARCT	A0A7D9IDY8	N/A	N/A
A0A6P8I381_ACTTE	A0A6P8I381	N/A	N/A
A0A6P8HVI9_ACTTE	A0A6P8HVI9	N/A	N/A
A0A6P8I3F9_ACTTE	A0A6P8I3F9	N/A	N/A
A0A6P8HSK9_ACTTE	A0A6P8HSK9	N/A	N/A
A0A6P8HVG0_ACTTE	A0A6P8HVG0	N/A	N/A
A0A6P8IJI1_ACTTE	A0A6P8IJI1	N/A	N/A
A0A6P8IJ57_ACTTE	A0A6P8IJ57	N/A	N/A
A0A6P8HVJ4_ACTTE	A0A6P8HVJ4	N/A	N/A
A0A6P8HSL4_ACTTE	A0A6P8HSL4	N/A	N/A
A0A913WPW2_EXADI	A0A913WPW2	N/A	N/A
A0A6P8IMV9_ACTTE	A0A6P8IMV9	membrane [GO:0016020]; extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0016020
A0A913WZE5_EXADI	A0A913WZE5	N/A	N/A
A0A913WZ25_EXADI	A0A913WZ25	N/A	N/A
A0A2B4RNC5_STYPI	A0A2B4RNC5	membrane [GO:0016020]; extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0016020
A0A3M6UI64_POCDA	A0A3M6UI64	membrane [GO:0016020]; extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0016020
A7T134_NEMVE	A7T134	neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; synapse [GO:0045202]; acetylcholine-gated cation-selective channel activity [GO:0022848]; excitatory extracellular ligand-gated ion channel activity [GO:0005231]; neurotransmitter receptor activity [GO:0030594]; transmembrane signaling receptor activity [GO:0004888]; transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential [GO:1904315]; chemical synaptic transmission [GO:0007268]; ion transmembrane transport [GO:0034220]; nervous system process [GO:0050877]; regulation of membrane potential [GO:0042391]; signal transduction [GO:0007165]	GO:0004888; GO:0005231; GO:0005886; GO:0007165; GO:0007268; GO:0022848; GO:0030594; GO:0034220; GO:0042391; GO:0043005; GO:0045202; GO:0045211; GO:0050877; GO:1904315
A0A913X7Y8_EXADI	A0A913X7Y8	N/A	N/A
A0A6P8I0A6_ACTTE	A0A6P8I0A6	membrane [GO:0016020]; extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0016020
A0A913XF57_EXADI	A0A913XF57	N/A	N/A
A7S2J7_NEMVE	A7S2J7	neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; synapse [GO:0045202]; acetylcholine-gated cation-selective channel activity [GO:0022848]; excitatory extracellular ligand-gated ion channel activity [GO:0005231]; neurotransmitter receptor activity [GO:0030594]; transmembrane signaling receptor activity [GO:0004888]; transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential [GO:1904315]; chemical synaptic transmission [GO:0007268]; ion transmembrane transport [GO:0034220]; nervous system process [GO:0050877]; regulation of membrane potential [GO:0042391]; signal transduction [GO:0007165]	GO:0004888; GO:0005231; GO:0005886; GO:0007165; GO:0007268; GO:0022848; GO:0030594; GO:0034220; GO:0042391; GO:0043005; GO:0045202; GO:0045211; GO:0050877; GO:1904315
A0A6P8ITT3_ACTTE	A0A6P8ITT3	N/A	N/A
A0A6P8IWA1_ACTTE	A0A6P8IWA1	N/A	N/A
A0A913X0S4_EXADI	A0A913X0S4	N/A	N/A
A0A913X0X3_EXADI	A0A913X0X3	N/A	N/A
A7S2W1_NEMVE	A7S2W1	N/A	N/A
A0A6P8ITI8_ACTTE	A0A6P8ITI8	N/A	N/A
A0A6P8IW93_ACTTE	A0A6P8IW93	N/A	N/A
A0A7D9H8M2_PARCT	A0A7D9H8M2	N/A	N/A
A0A3M6V1A1_POCDA	A0A3M6V1A1	N/A	N/A
A0A6P8HZ93_ACTTE	A0A6P8HZ93	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; response to stimulus [GO:0050896]	GO:0003677; GO:0003700; GO:0005634; GO:0050896
A0A6P8HZ40_ACTTE	A0A6P8HZ40	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; response to stimulus [GO:0050896]	GO:0003677; GO:0003700; GO:0005634; GO:0050896
A0A913WRV3_EXADI	A0A913WRV3	N/A	N/A
A0A913WRV8_EXADI	A0A913WRV8	N/A	N/A
A7S4F1_NEMVE	A7S4F1	"nucleus [GO:0005634]; transcription regulator complex [GO:0005667]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; regulation of transcription by RNA polymerase II [GO:0006357]; response to stimulus [GO:0050896]"	GO:0000978; GO:0000981; GO:0005634; GO:0005667; GO:0006357; GO:0050896
A0A3M6UV34_POCDA	A0A3M6UV34	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; response to stimulus [GO:0050896]	GO:0003677; GO:0003700; GO:0005634; GO:0050896
A0A2B4SQ30_STYPI	A0A2B4SQ30	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; response to stimulus [GO:0050896]	GO:0003677; GO:0003700; GO:0005634; GO:0050896
A0A6S7ICB7_PARCT	A0A6S7ICB7	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; response to stimulus [GO:0050896]	GO:0003677; GO:0003700; GO:0005634; GO:0050896
A0A8C1BGQ7_CYPCA	A0A8C1BGQ7	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; response to stimulus [GO:0050896]	GO:0003677; GO:0003700; GO:0005634; GO:0050896
A0A8C2A3R5_CYPCA	A0A8C2A3R5	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; response to stimulus [GO:0050896]	GO:0003677; GO:0003700; GO:0005634; GO:0050896
A0A6P8HJU3_ACTTE	A0A6P8HJU3	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270
A0A913XFF7_EXADI	A0A913XFF7	N/A	N/A
A7RTE1_NEMVE	A7RTE1	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0005737; GO:0008270
A0A3M6TKV2_POCDA	A0A3M6TKV2	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270
A0A2B4SXL2_STYPI	A0A2B4SXL2	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270
A0A8W8MY76_CRAGI	A0A8W8MY76	N/A	N/A
A0A8B8CD40_CRAVI	A0A8B8CD40	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270
K1RI46_CRAGI	K1RI46	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270
C3ZAR5_BRAFL	C3ZAR5	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0005737; GO:0008270
A0A6P4YTG0_BRABE	A0A6P4YTG0	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270
A0A6P8H0R6_ACTTE	A0A6P8H0R6	N/A	N/A
A0A6P8H937_ACTTE	A0A6P8H937	N/A	N/A
A0A913X3T7_EXADI	A0A913X3T7	N/A	N/A
A0A913YGN9_EXADI	A0A913YGN9	N/A	N/A
A0A444U890_ACIRT	A0A444U890	N/A	N/A
U3KIB3_FICAL	U3KIB3	N/A	N/A
A0A1N6JYT1_9PROT	A0A1N6JYT1	N/A	N/A
A0A3M0KVR5_HIRRU	A0A3M0KVR5	N/A	N/A
A0A6P8IJZ6_ACTTE	A0A6P8IJZ6	plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886
A0A913X4K7_EXADI	A0A913X4K7	N/A	N/A
A7RRR9_NEMVE	A7RRR9	"plasma membrane [GO:0005886]; adenylate cyclase inhibiting G protein-coupled glutamate receptor activity [GO:0001640]; G protein-coupled glutamate receptor signaling pathway [GO:0007216]; regulation of synaptic transmission, glutamatergic [GO:0051966]"	GO:0001640; GO:0005886; GO:0007216; GO:0051966
A0A7D9DC44_PARCT	A0A7D9DC44	plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886
A0A3M6U146_POCDA	A0A3M6U146	plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886
A0A7D9IED8_PARCT	A0A7D9IED8	plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886
A0A6P8IIU9_ACTTE	A0A6P8IIU9	plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886
A0A6P7MTT3_BETSP	A0A6P7MTT3	plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886
A0A8C4BL37_9TELE	A0A8C4BL37	plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886
A0A3P8RZN3_AMPPE	A0A3P8RZN3	plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886
A0A6P8I6H5_ACTTE	A0A6P8I6H5	collagen trimer [GO:0005581]	GO:0005581
A0A6P8IDK2_ACTTE	A0A6P8IDK2	collagen trimer [GO:0005581]	GO:0005581
A0A6P8ICP0_ACTTE	A0A6P8ICP0	collagen trimer [GO:0005581]	GO:0005581
A0A6P8I4T5_ACTTE	A0A6P8I4T5	collagen trimer [GO:0005581]	GO:0005581
A0A6P8I8I3_ACTTE	A0A6P8I8I3	collagen trimer [GO:0005581]	GO:0005581
A0A913WUS0_EXADI	A0A913WUS0	N/A	N/A
A0A3M6T707_POCDA	A0A3M6T707	N/A	N/A
A0A913WUT1_EXADI	A0A913WUT1	N/A	N/A
A0A8C1TIY7_CYPCA	A0A8C1TIY7	N/A	N/A
A0A913YGT0_EXADI	A0A913YGT0	N/A	N/A
A0A6P8H591_ACTTE	A0A6P8H591	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; guanyl-nucleotide exchange factor activity [GO:0005085]; protein serine/threonine kinase activity [GO:0004674]; protein phosphorylation [GO:0006468]	GO:0004674; GO:0005085; GO:0005524; GO:0005737; GO:0006468
A0A6P8HDK5_ACTTE	A0A6P8HDK5	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; guanyl-nucleotide exchange factor activity [GO:0005085]; protein serine/threonine kinase activity [GO:0004674]; protein phosphorylation [GO:0006468]	GO:0004674; GO:0005085; GO:0005524; GO:0005737; GO:0006468
A0A6P8J3Z7_ACTTE	A0A6P8J3Z7	lysosomal membrane [GO:0005765]	GO:0005765
A7SHZ0_NEMVE	A7SHZ0	cytoplasm [GO:0005737]; lysosomal membrane [GO:0005765]; ATPase inhibitor activity [GO:0042030]; chaperone binding [GO:0051087]	GO:0005737; GO:0005765; GO:0042030; GO:0051087
A0A913YCB5_EXADI	A0A913YCB5	N/A	N/A
A0A3M6UUE3_POCDA	A0A3M6UUE3	lysosomal membrane [GO:0005765]	GO:0005765
A0A2B4RG02_STYPI	A0A2B4RG02	lysosomal membrane [GO:0005765]	GO:0005765
A0A8X6PDB4_NEPPI	A0A8X6PDB4	N/A	N/A
C3Z5X5_BRAFL	C3Z5X5	cytoplasm [GO:0005737]; lysosomal membrane [GO:0005765]; ATPase inhibitor activity [GO:0042030]; chaperone binding [GO:0051087]	GO:0005737; GO:0005765; GO:0042030; GO:0051087
A0A6P5ACN3_BRABE	A0A6P5ACN3	lysosomal membrane [GO:0005765]	GO:0005765
A0A6P8I6K0_ACTTE	A0A6P8I6K0	N/A	N/A
A0A6P8HXW4_ACTTE	A0A6P8HXW4	N/A	N/A
A0A913WVW9_EXADI	A0A913WVW9	N/A	N/A
A0A6F9C2J3_9TELE	A0A6F9C2J3	membrane [GO:0016020]	GO:0016020
A0A6P8IVD5_ACTTE	A0A6P8IVD5	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0003700; GO:0005634; GO:0006357; GO:0043565
A0A913XH86_EXADI	A0A913XH86	N/A	N/A
A0A6P8IVC4_ACTTE	A0A6P8IVC4	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0003700; GO:0005634; GO:0006357; GO:0043565
A0A913YPM7_EXADI	A0A913YPM7	N/A	N/A
A0A6P8IZ71_ACTTE	A0A6P8IZ71	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0003700; GO:0005634; GO:0006357; GO:0043565
A7RSZ8_NEMVE	A7RSZ8	"nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]; cell differentiation [GO:0030154]; regulation of transcription by RNA polymerase II [GO:0006357]"	GO:0000981; GO:0005634; GO:0006357; GO:0030154; GO:0043565
J7H4Y3_NEMVE	J7H4Y3	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0003700; GO:0005634; GO:0006357; GO:0043565
A0A6P8IZN8_ACTTE	A0A6P8IZN8	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0003700; GO:0005634; GO:0006357; GO:0043565
A0A2B4S8K9_STYPI	A0A2B4S8K9	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0003700; GO:0005634; GO:0006357; GO:0043565
A0A913X986_EXADI	A0A913X986	N/A	N/A
A0A6P8H8R1_ACTTE	A0A6P8H8R1	N/A	N/A
A0A913Y7Y2_EXADI	A0A913Y7Y2	N/A	N/A
A0A3M6T987_POCDA	A0A3M6T987	N/A	N/A
A0A2B4RW43_STYPI	A0A2B4RW43	N/A	N/A
A7SXA1_NEMVE	A7SXA1	N/A	N/A
A0A7D9EX99_PARCT	A0A7D9EX99	N/A	N/A
A0A7D9EYM0_PARCT	A0A7D9EYM0	N/A	N/A
LRIG3_MOUSE	Q6P1C6	cytoplasmic vesicle membrane [GO:0030659]; plasma membrane [GO:0005886]; otolith morphogenesis [GO:0032474]	GO:0005886; GO:0030659; GO:0032474
A0A6P5QN14_MUSCR	A0A6P5QN14	membrane [GO:0016020]	GO:0016020
A0A6P8IVA7_ACTTE	A0A6P8IVA7	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A6P8I5C1_ACTTE	A0A6P8I5C1	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A913Y8R7_EXADI	A0A913Y8R7	N/A	N/A
A7SQZ5_NEMVE	A7SQZ5	membrane [GO:0016020]; monocarboxylic acid transmembrane transporter activity [GO:0008028]	GO:0008028; GO:0016020
A0A913Y3W6_EXADI	A0A913Y3W6	N/A	N/A
A0A913Y4M9_EXADI	A0A913Y4M9	N/A	N/A
A0A913Y626_EXADI	A0A913Y626	N/A	N/A
A0A6P8IED3_ACTTE	A0A6P8IED3	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A913WS71_EXADI	A0A913WS71	N/A	N/A
A0A913YLB5_EXADI	A0A913YLB5	N/A	N/A
A0A6P8HKB8_ACTTE	A0A6P8HKB8	nucleus [GO:0005634]; DNA binding [GO:0003677]	GO:0003677; GO:0005634
